	source	target	source_entity	target_entity	source_span	target_span	dialogue_id	turn_id	utterance_type	source_word_span	target_word_span
243	That's all right, goodbye!	Das ist in Ordnung, auf Wiedersehen!	[]	[]	[]	[]	weather_goal_3-46###734	6	system	[]	[]
244	Hello, how much is the ticket for Xishan Island Scenic Area?	Hallo, wie viel kostet das Ticket für das landschaftlich reizvolle Gebiet in Xidongting Shan?	['Xishan Island Scenic Area?']	['das landschaftlich reizvolle Gebiet in Xidongting Shan']	[[34, 60]]	[[38, 92]]	attraction_restaurant_goal_4-17###5160	0	user	[[7, 11]]	[[7, 14]]
245	45 yuan.	45 Yuan.	['45 yuan.']	['45 Yuan.']	[[0, 8]]	[[0, 8]]	attraction_restaurant_goal_4-17###5160	0	system	[[0, 2]]	[[0, 2]]
246	Is it a fun place to visit? Does it have a high rating?	Ist es ein angenehmer Ort zu besuchen? Hat es eine hohe Bewertung?	[]	[]	[]	[]	attraction_restaurant_goal_4-17###5160	1	user	[]	[]
247	It's got a rating of 4.4 and it is a nice place for sightseeing.	Es hat eine Bewertung von 4,4 und ist ein schöner Ort für Sightseeing.	['4.4']	['4,4']	[[21, 24]]	[[26, 29]]	attraction_restaurant_goal_4-17###5160	1	system	[[5, 6]]	[[5, 6]]
248	I heard that the directly-operated Chongqing De Zhuang Hot Pot has nice hot pots and how about its rating?	Ich habe gehört, dass der direkt betriebene Chongqing De Zhuang Hot Pot schöne Hot Pots hat, was hat es für eine Bewertung?	['Chongqing De Zhuang Hot Pot']	['Chongqing De Zhuang Hot Pot']	[[35, 62]]	[[44, 71]]	attraction_restaurant_goal_4-17###5160	2	user	[[5, 10]]	[[7, 12]]
249	It's got a rating of 4.5, which is quite high, you can give it a try.	Es hat eine Bewertung von 4,5, was ziemlich hoch ist, Sie können es versuchen.	['4.5,']	['4,5,']	[[21, 25]]	[[26, 30]]	attraction_restaurant_goal_4-17###5160	2	system	[[5, 6]]	[[5, 6]]
250	Ok, so where is it?	Okay, also wo ist es?	[]	[]	[]	[]	attraction_restaurant_goal_4-17###5160	3	user	[]	[]
251	It is at No. S3015, 3F of Wanbao Plaza, Songling Town.	Es befindet sich in Nr. S3015, 3F des Wanbao Plaza, Songling Town.	['It is at No. S3015, 3F of Wanbao Plaza, Songling Town.']	['Es befindet sich in Nr. S3015, 3F des Wanbao Plaza, Songling Town.']	[[0, 54]]	[[0, 66]]	attraction_restaurant_goal_4-17###5160	3	system	[[0, 11]]	[[0, 12]]
252	Alright, got it. Thank you so much, bye.	In Ordnung, verstanden. Vielen Dank, tschüss.	[]	[]	[]	[]	attraction_restaurant_goal_4-17###5160	4	user	[]	[]
253	That's ok.	Das ist okay.	[]	[]	[]	[]	attraction_restaurant_goal_4-17###5160	4	system	[]	[]
254	Hello! I'm from out-of-town and here in Suzhou on a trip with my family! We're staying in Wuzhong District and I want to find a restaurant where we can have some delicious Northwest cuisine. The price does not matter. Could you recommend a restaurant?	Hallo! Ich bin von außerhalb und hier in Suzhou auf einer Reise mit meiner Familie! Wir wohnen im Bezirk Wuzhong und ich möchte ein Restaurant finden, in dem wir köstliche Nordwestliche Küche genießen können. Der Preis spielt keine Rolle. Könnt ihr ein Restaurant empfehlen?	['Suzhou', 'Wuzhong District', 'Northwest cuisine.']	['Suzhou', 'Bezirk Wuzhong', 'Nordwestliche Küche']	[[40, 46], [90, 106], [172, 190]]	[[41, 47], [98, 112], [172, 191]]	restaurant_goal_1-32###289	0	user	[[7, 8], [17, 19], [32, 34]]	[[8, 9], [18, 20], [30, 32]]
255	Ok, I recommend you go to Yangguanguren Restaurant.	Ok, ich empfehle dir, ins Yangguanguren Restaurant zu gehen.	['Yangguanguren Restaurant.']	['Yangguanguren Restaurant']	[[26, 51]]	[[26, 50]]	restaurant_goal_1-32###289	0	system	[[6, 8]]	[[5, 7]]
256	Fine, any recommendations at this restaurant? Where is it?	Gut, irgendwelche Empfehlungen für dieses Restaurant? Wo ist es?	[]	[]	[]	[]	restaurant_goal_1-32###289	1	user	[]	[]
257	I recommend fried mutton with shallot. The restaurant is on the 3F floor, just beside the lift of CR Vanguard, No. 128, Jiuhua Road.	Ich empfehle gebratenes Hammelfleisch mit Schalotte. Das Restaurant befindet sich im 3. Stock, direkt neben dem Aufzug des CR Vanguard, Nr. 128, Jiuhua Straße.	['fried mutton with shallot.', 'the 3F floor, just beside the lift of CR Vanguard, No. 128, Jiuhua Road.']	['gebratenes Hammelfleisch mit Schalotte.', '3. Stock, direkt neben dem Aufzug des CR Vanguard, Nr. 128, Jiuhua Straße.']	[[12, 38], [60, 132]]	[[13, 52], [85, 159]]	restaurant_goal_1-32###289	1	system	[[2, 6], [10, 24]]	[[2, 6], [11, 24]]
258	Is there a direct subway to it? It would be great if there was!	Gibt es eine direkte U-Bahn dorthin? Es wäre toll, wenn es das gäbe!	[]	[]	[]	[]	restaurant_goal_1-32###289	2	user	[]	[]
259	Sorry, there is no direct subway.	Tut mir leid, es gibt keine direkte U-Bahn.	['no']	['keine']	[[16, 18]]	[[22, 27]]	restaurant_goal_1-32###289	2	system	[[3, 4]]	[[5, 6]]
260	That's too bad! Thanks for your help anyway, bye!	Das ist sehr schade! Danke trotzdem für deine Hilfe, tschüss!	[]	[]	[]	[]	restaurant_goal_1-32###289	3	user	[]	[]
261	My pleasure, goodbye.	Gerne, auf Wiedersehen.	[]	[]	[]	[]	restaurant_goal_1-32###289	3	system	[]	[]
262	Hello, I'm looking for a cheaper scenic area, preferably a water town. Any recommendations?	Hallo, ich suche ein günstigeres Naturgebiet, vorzugsweise eine Wasserstadt. Irgendwelche Empfehlungen?	['cheaper', 'water town.']	['günstigeres', 'Wasserstadt.']	[[25, 32], [59, 70]]	[[21, 32], [64, 76]]	attraction_hotel_goal_3-14_v2###2085	0	user	[[5, 6], [10, 12]]	[[4, 5], [8, 9]]
263	You could go to Mudu Town. It's not too expensive.	Du könntest nach Mudu Town gehen. Es ist nicht zu teuer.	['Mudu Town.']	['Mudu Town']	[[16, 26]]	[[17, 26]]	attraction_hotel_goal_3-14_v2###2085	0	system	[[4, 6]]	[[3, 5]]
264	Ok, how about its rating?	Ok, wie sieht es mit der Bewertung aus?	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	1	user	[]	[]
265	It's got a rating of 4.4.	Es hat eine Bewertung von 4,4.	['4.4.']	['4,4.']	[[21, 25]]	[[26, 30]]	attraction_hotel_goal_3-14_v2###2085	1	system	[[5, 6]]	[[5, 6]]
266	Anything special to see there?	Gibt es dort etwas Besonderes zu sehen?	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	2	user	[]	[]
267	The key feature of it is the garden. You can visit classical gardens such as Yanjia Garden, go on a boat ride and enjoy the flowing water.	Das Herzstück ist der Garten. Sie können klassische Gärten wie den Yanjia-Garten besuchen, eine Bootsfahrt unternehmen und das fließende Wasser genießen.	['The key feature of it is the garden. You can visit classical gardens such as Yanjia Garden, go on a boat ride and enjoy the flowing water.']	['Das Herzstück ist der Garten. Sie können klassische Gärten wie den Yanjia-Garten besuchen, eine Bootsfahrt unternehmen und das fließende Wasser genießen.']	[[0, 138]]	[[0, 153]]	attraction_hotel_goal_3-14_v2###2085	2	system	[[0, 27]]	[[0, 21]]
268	Great, I'm looking forward to it. And please help me find a moderately priced resort hotel. I want a king-size room.	Super, ich freue mich drauf. Und bitte helfen Sie mir, ein Resort-Hotel zu moderaten Preisen zu finden. Ich will ein Zimmer mit Kingsize-Bett.	['moderately priced', 'resort hotel.', 'king-size room.']	['moderaten Preisen', 'Resort-Hotel', 'Zimmer mit Kingsize-Bett.']	[[60, 77], [78, 91], [101, 116]]	[[75, 92], [59, 71], [117, 142]]	attraction_hotel_goal_3-14_v2###2085	3	user	[[12, 14], [14, 16], [19, 21]]	[[13, 15], [11, 12], [20, 23]]
269	I would recommend Jinling Nanlin Hotel. It has very good service.	Ich würde das Jinling Nanlin Hotel empfehlen. Es hat einen sehr guten Service.	['Jinling Nanlin Hotel.']	['das Jinling Nanlin Hotel']	[[18, 39]]	[[10, 34]]	attraction_hotel_goal_3-14_v2###2085	3	system	[[3, 6]]	[[2, 6]]
270	Do you have to pay for parking there?	Müssen Sie dort für das Parken bezahlen?	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	4	user	[]	[]
271	The parking lot is free.	Der Parkplatz ist kostenlos.	['free.']	['kostenlos.']	[[19, 24]]	[[18, 28]]	attraction_hotel_goal_3-14_v2###2085	4	system	[[4, 5]]	[[3, 4]]
272	Ok, could you tell me its address?	Ok, kannst du mir die Adresse sagen?	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	5	user	[]	[]
273	It is at No. 20, Gunxiufang, Shiquan Street, Gusu District, Suzhou.	Es befindet sich in Nr. 20, Gunxiufang, Shiquan Straße, Bezirk Gusu, Suzhou.	['No. 20, Gunxiufang, Shiquan Street, Gusu District, Suzhou.']	['Nr. 20, Gunxiufang, Shiquan Straße, Bezirk Gusu, Suzhou.']	[[9, 67]]	[[20, 76]]	attraction_hotel_goal_3-14_v2###2085	5	system	[[3, 11]]	[[4, 12]]
274	Ok. No further questions. Thanks for your service. Bye!	OK. Keine weiteren Fragen. Vielen Dank für Ihren Service. Wiedersehen!	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	6	user	[]	[]
275	You're welcome. Have a nice day!	Gern geschehen. Einen schönen Tag noch!	[]	[]	[]	[]	attraction_hotel_goal_3-14_v2###2085	6	system	[]	[]
276	Hi, I get bored staying home on weekends and I'm looking for a nice TV show. Could you recommend an American science fiction TV show from the 2010s?	Hallo, es wird mir langweilig, am Wochenende zu Hause zu bleiben, und ich suche nach einer netten Fernsehsendung. Können Sie eine amerikanische Science-Fiction-Serie aus den 2010er Jahren empfehlen?	['American', 'science fiction TV show', '2010s?']	['amerikanische', 'Science-Fiction-Serie', '2010er Jahren']	[[100, 108], [109, 132], [142, 148]]	[[130, 143], [144, 165], [174, 187]]	tv_goal_1-57_v2###9567	0	user	[[20, 21], [21, 25], [27, 28]]	[[21, 22], [22, 23], [25, 27]]
277	No problem. I recommend the first season of Westworld.	Kein Problem. Ich empfehle die erste Staffel von Westworld.	['the first season of Westworld.']	['die erste Staffel von Westworld.']	[[24, 54]]	[[27, 59]]	tv_goal_1-57_v2###9567	0	system	[[4, 9]]	[[4, 9]]
278	How about the runtime for each episode? Does it have a high Douban rating?	Wie sieht es mit der Laufzeit der einzelnen Folgen aus? Hat es eine hohe Douban-Bewertung?	[]	[]	[]	[]	tv_goal_1-57_v2###9567	1	user	[]	[]
279	Its Douban rating is 8.9 and each episode runs for 60 minutes.	Die Douban-Bewertung beträgt 8,9 und jede Folge dauert 60 Minuten.	['8.9', '60 minutes.']	['8,9', '60 Minuten.']	[[21, 24], [51, 62]]	[[29, 32], [55, 66]]	tv_goal_1-57_v2###9567	1	system	[[4, 5], [10, 12]]	[[3, 4], [8, 10]]
280	And who's the director?	Und wer ist der Regisseur?	[]	[]	[]	[]	tv_goal_1-57_v2###9567	2	user	[]	[]
281	The director is Jonathan Nolan.	Der Regisseur ist Jonathan Nolan.	['Jonathan Nolan.']	['Jonathan Nolan.']	[[16, 31]]	[[18, 33]]	tv_goal_1-57_v2###9567	2	system	[[3, 5]]	[[3, 5]]
282	Ok. Thanks a lot, bye!	OK. Vielen Dank Tschüss!	[]	[]	[]	[]	tv_goal_1-57_v2###9567	3	user	[]	[]
283	My pleasure, goodbye!	Gerne, auf Wiedersehen!	[]	[]	[]	[]	tv_goal_1-57_v2###9567	3	system	[]	[]
284	Hi, I'm Suzhou but I'm from out-of-town. I'm looking for a nice restaurant serving Jiangsu-Zhejiang cuisine in Suzhou New District.	Hallo, ich bin in Suzhou, aber ich komme von außerhalb. Ich suche ein nettes Restaurant mit Jiangsu-Zhejiang-Küche in Suzhou New District.	['Jiangsu-Zhejiang cuisine', 'Suzhou New District.']	['Jiangsu-Zhejiang-Küche', 'Suzhou New District.']	[[83, 107], [111, 131]]	[[92, 114], [118, 138]]	restaurant_hotel_goal_1-6_v2###2035	0	user	[[14, 16], [17, 20]]	[[16, 17], [18, 21]]
285	In this area, I would recommend Dream of Taoyuan, it meets your needs.	In diesem Bereich würde ich Dream of Taoyuan empfehlen, es erfüllt Ihre Bedürfnisse.	['Dream of Taoyuan,']	['Dream of Taoyuan']	[[32, 49]]	[[28, 44]]	restaurant_hotel_goal_1-6_v2###2035	0	system	[[6, 9]]	[[5, 8]]
286	How about its opening hours?	Wie sieht es mit den Öffnungszeiten aus?	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	1	user	[]	[]
287	It's open 10:00-21:30, Monday to Sunday.	Es ist montags bis sonntags von 10:00 bis 21:30 Uhr geöffnet.	['10:00-21:30, Monday to Sunday.']	['montags bis sonntags von 10:00 bis 21:30 Uhr']	[[10, 40]]	[[7, 51]]	restaurant_hotel_goal_1-6_v2###2035	1	system	[[2, 6]]	[[2, 10]]
288	Does it have a high rating?	Hat es eine hohe Bewertung?	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	2	user	[]	[]
289	It's got a quite high rating of 4.5.	Es hat eine ziemlich hohe Bewertung von 4,5.	['4.5.']	['4,5.']	[[32, 36]]	[[40, 44]]	restaurant_hotel_goal_1-6_v2###2035	2	system	[[7, 8]]	[[7, 8]]
290	I want to find a 5-star hotel nearby.	Ich möchte ein 5-Sterne Hotel in der Nähe finden.	['5-star']	['5-Sterne']	[[17, 23]]	[[15, 23]]	restaurant_hotel_goal_1-6_v2###2035	3	user	[[5, 6]]	[[3, 4]]
291	New City Grand Rezen Hotel may be a good choice.	Das New City Grand Rezen Hotel könnte eine gute Wahl sein.	['New City Grand Rezen Hotel']	['New City Grand Rezen Hotel']	[[0, 26]]	[[4, 30]]	restaurant_hotel_goal_1-6_v2###2035	3	system	[[0, 5]]	[[1, 6]]
292	And I prefer a king-size room.	Und ich bevorzuge ein Kingsize-Zimmer.	['king-size room.']	['Kingsize-Zimmer.']	[[15, 30]]	[[22, 38]]	restaurant_hotel_goal_1-6_v2###2035	4	user	[[4, 6]]	[[4, 5]]
293	It does have king-size rooms.	Es hat Kingsize-Zimmer.	['king-size rooms.']	['Kingsize-Zimmer.']	[[13, 29]]	[[7, 23]]	restaurant_hotel_goal_1-6_v2###2035	4	system	[[3, 5]]	[[2, 3]]
294	What's the phone number of this hotel?	Wie lautet die Telefonnummer dieses Hotels?	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	5	user	[]	[]
295	Its phone number is 0512-68182888.	Die Telefonnummer lautet 0512-68182888.	['0512-68182888.']	['0512-68182888.']	[[20, 34]]	[[25, 39]]	restaurant_hotel_goal_1-6_v2###2035	5	system	[[4, 5]]	[[3, 4]]
296	How about its address?	Wie lautet die Adresse?	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	6	user	[]	[]
297	It is located on No. 1, Shishan Road, Suzhou New District, Suzhou.	Es befindet sich in der Shishan Straße Nr. 1, Suzhou New District, Suzhou.	['No. 1, Shishan Road, Suzhou New District, Suzhou.']	['Shishan Straße Nr. 1, Suzhou New District, Suzhou.']	[[17, 66]]	[[24, 74]]	restaurant_hotel_goal_1-6_v2###2035	6	system	[[4, 12]]	[[5, 13]]
298	Thank you, bye.	Danke Aufwiedersehen.	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	7	user	[]	[]
299	Not at all, bye.	Überhaupt nicht, tschüss.	[]	[]	[]	[]	restaurant_hotel_goal_1-6_v2###2035	7	system	[]	[]
300	Hi, I'm in Suzhou with my friends and I heard that Suzhou Marriott Hotel Taihu Lake is a pretty good hotel. Does it have king-size rooms?	Hi, ich bin mit meinen Freunden in Suzhou und habe gehört, dass das Suzhou Marriott Hotel Taihu Lake ein ziemlich gutes Hotel ist. Hat es Zimmer mit Kingsize-Bett?	['Suzhou Marriott Hotel Taihu Lake', 'king-size rooms?']	['Suzhou Marriott Hotel Taihu Lake', 'Zimmer mit Kingsize-Bett?']	[[51, 83], [121, 137]]	[[68, 100], [138, 163]]	hotel_goal_3-36###5258	0	user	[[11, 16], [24, 26]]	[[13, 18], [25, 28]]
301	Sure, it has king-size rooms.	Sicher, es hat Kingsize-Zimmer.	['king-size rooms.']	['Kingsize-Zimmer.']	[[13, 29]]	[[15, 31]]	hotel_goal_3-36###5258	0	system	[[3, 5]]	[[3, 4]]
302	Good, where is the hotel? Do you know its phone number? I will call it later.	Gut, wo ist das Hotel? Kennen Sie seine Telefonnummer? Ich werde es später anrufen.	[]	[]	[]	[]	hotel_goal_3-36###5258	1	user	[]	[]
303	The hotel is at No. 6, Shuli Road, Suzhou Taihu National Tourism Vacation Zone, Wuzhong District, Suzhou. Here is the phone number, it's 0512-65693333.	Das Hotel befindet sich in der Shuli Road Nr. 6, Suzhou Taihu National Tourism Vacation Zone, Bezirk Wuzhong, Suzhou. Die Telefonnummer lautet 0512-65693333.	['No. 6, Shuli Road, Suzhou Taihu National Tourism Vacation Zone, Wuzhong District, Suzhou.', '0512-65693333.']	['Shuli Road Nr. 6, Suzhou Taihu National Tourism Vacation Zone, Bezirk Wuzhong, Suzhou.', '0512-65693333.']	[[16, 105], [137, 151]]	[[31, 117], [143, 157]]	hotel_goal_3-36###5258	1	system	[[4, 17], [23, 24]]	[[6, 19], [22, 23]]
304	Ok, got it. By the way, is there a parking lot there?	OK habe es. Übrigens, gibt es dort einen Parkplatz?	[]	[]	[]	[]	hotel_goal_3-36###5258	2	user	[]	[]
305	Yes, it has a free parking lot.	Ja, es hat einen kostenlosen Parkplatz.	['free']	['kostenlosen']	[[14, 18]]	[[17, 28]]	hotel_goal_3-36###5258	2	system	[[4, 5]]	[[4, 5]]
306	Nice. Thank you for your information, bye!	Nett. Vielen Dank für Ihre Informationen, tschüss!	[]	[]	[]	[]	hotel_goal_3-36###5258	3	user	[]	[]
307	My pleasure, goodbye!	Gerne, auf Wiedersehen!	[]	[]	[]	[]	hotel_goal_3-36###5258	3	system	[]	[]
308	Hi, I'm looking for a hot pot restaurant in Suzhou Industrial Park. Can you recommend one for me?	Hallo, ich suche ein Hot-Pot Restaurant im Industriepark Suzhou. Könnt ihr mir einen empfehlen?	['hot pot', 'Suzhou Industrial Park.']	['Hot-Pot', 'Industriepark Suzhou.']	[[22, 29], [44, 67]]	[[21, 28], [43, 64]]	restaurant_goal_1-25_v2###7438	0	user	[[5, 7], [9, 12]]	[[4, 5], [7, 9]]
309	Haidilao Hot Pot is a good choice.	Haidilao Hot Pot ist eine gute Wahl.	['Haidilao Hot Pot']	['Haidilao Hot Pot']	[[0, 16]]	[[0, 16]]	restaurant_goal_1-25_v2###7438	0	system	[[0, 3]]	[[0, 3]]
310	What's the average spend?	Wie hoch sind die durchschnittlichen Ausgaben?	[]	[]	[]	[]	restaurant_goal_1-25_v2###7438	1	user	[]	[]
311	It's 127 yuan per person.	Es sind 127 Yuan pro Person.	['127 yuan']	['127 Yuan']	[[5, 13]]	[[8, 16]]	restaurant_goal_1-25_v2###7438	1	system	[[1, 3]]	[[2, 4]]
312	Can you tell me the exact address, please?	Können Sie mir bitte die genaue Adresse sagen?	[]	[]	[]	[]	restaurant_goal_1-25_v2###7438	2	user	[]	[]
313	It is on 4F of Saige Digital Plaza, No. 318, Suya Road.	Es befindet sich auf 4F des Saige Digital Plaza, Nr. 318, Suya Road.	['It is on 4F of Saige Digital Plaza, No. 318, Suya Road.']	['Es befindet sich auf 4F des Saige Digital Plaza, Nr. 318, Suya Road.']	[[0, 55]]	[[0, 68]]	restaurant_goal_1-25_v2###7438	2	system	[[0, 12]]	[[0, 13]]
314	Any recommendations for this restaurant?	Irgendwelche Empfehlungen für dieses Restaurant?	[]	[]	[]	[]	restaurant_goal_1-25_v2###7438	3	user	[]	[]
315	It's recommended you give the tomato pot a try.	Es wird empfohlen, den Tomatentopf auszuprobieren.	"[""It's recommended you give the tomato pot""]"	['Es wird empfohlen, den Tomatentopf']	[[0, 40]]	[[0, 34]]	restaurant_goal_1-25_v2###7438	3	system	[[0, 7]]	[[0, 5]]
316	Thanks for your service. Goodbye!	Vielen Dank für Ihren Service. Auf Wiedersehen!	[]	[]	[]	[]	restaurant_goal_1-25_v2###7438	4	user	[]	[]
317	You're welcome!	Gern geschehen!	[]	[]	[]	[]	restaurant_goal_1-25_v2###7438	4	system	[]	[]
318	Hello, I've heard that Beijiang Restaurant in Suzhou is good. Could you help me check the average spend per person?	Hallo, ich habe gehört, dass das Restaurant Beijiang in Suzhou gut ist. Können Sie mir helfen, die durchschnittlichen Ausgaben pro Person zu überprüfen?	['Suzhou']	['Suzhou']	[[46, 52]]	[[56, 62]]	restaurant_goal_3-32###5385	0	user	[[7, 8]]	[[9, 10]]
319	It is 67 yuan per person.	Es sind 67 Yuan pro Person.	['67 yuan']	['67 Yuan']	[[6, 13]]	[[10, 17]]	restaurant_goal_3-32###5385	0	system	[[2, 4]]	[[2, 4]]
320	How about its opening hours?	Wie sieht es mit den Öffnungszeiten aus?	[]	[]	[]	[]	restaurant_goal_3-32###5385	1	user	[]	[]
321	It's usually open 10:00-22:00, Monday to Sunday.	Es ist in der Regel montags bis sonntags von 10:00 bis 22:00 Uhr geöffnet.	['open 10:00-22:00, Monday to Sunday.']	['montags bis sonntags von 10:00 bis 22:00 Uhr geöffnet.']	[[13, 48]]	[[20, 74]]	restaurant_goal_3-32###5385	1	system	[[2, 7]]	[[5, 14]]
322	What are its recommended dishes?	Was sind die empfohlenen Gerichte?	[]	[]	[]	[]	restaurant_goal_3-32###5385	2	user	[]	[]
323	Xinjiang Big Plate Chicken.	Xinjiang Große Hünchenplatte.	['Xinjiang Big Plate Chicken.']	['Xinjiang Große Hünchenplatte.']	[[0, 27]]	[[0, 29]]	restaurant_goal_3-32###5385	2	system	[[0, 4]]	[[0, 3]]
324	Thanks a lot for your considerate services, bye.	Vielen Dank für Ihre rücksichtsvollen Dienste, tschüss.	[]	[]	[]	[]	restaurant_goal_3-32###5385	3	user	[]	[]
325	It's my pleasure.	Ist mir ein Vergnügen.	[]	[]	[]	[]	restaurant_goal_3-32###5385	3	system	[]	[]
326	Hello, I want to buy a 14-inch lightweight laptop from Lenovo, preferably with a memory capacity of 8GB.	Hallo, ich möchte einen 14 Zoll leichten Laptop von Lenovo kaufen, vorzugsweise mit einer Speicherkapazität von 8 GB.	['14-inch', 'lightweight laptop', '8GB.']	['14 Zoll', 'leichten Laptop', '8 GB.']	[[23, 30], [31, 49], [100, 104]]	[[24, 31], [32, 47], [112, 117]]	PC_goal_2-50_v2###10456	0	user	[[6, 7], [7, 9], [17, 18]]	[[4, 6], [6, 8], [16, 18]]
327	Hi, I recommend Lenovo 7000 Xiaoxin Chao.	Hallo, ich empfehle Lenovo 7000 Xiaoxin Chao.	['Lenovo 7000 Xiaoxin Chao.']	['Lenovo 7000 Xiaoxin Chao.']	[[16, 41]]	[[20, 45]]	PC_goal_2-50_v2###10456	0	system	[[3, 7]]	[[3, 7]]
328	How much is it?	Wie viel kostet das?	[]	[]	[]	[]	PC_goal_2-50_v2###10456	1	user	[]	[]
329	The Lenovo Xiaoxin Chao 7000 is 4,999 yuan.	Das Lenovo Xiaoxin Chao 7000 kostet 4.999 Yuan.	['The Lenovo Xiaoxin Chao 7000', '4,999 yuan.']	['Das Lenovo Xiaoxin Chao 7000', '4.999 Yuan.']	[[0, 28], [32, 43]]	[[0, 28], [36, 47]]	PC_goal_2-50_v2###10456	1	system	[[0, 5], [6, 8]]	[[0, 5], [6, 8]]
330	What's its standby time?	Was ist seine Standby-Zeit?	[]	[]	[]	[]	PC_goal_2-50_v2###10456	2	user	[]	[]
331	The standby time of this laptop is over 9 hours.	Die Standby-Zeit dieses Laptops beträgt über 9 Stunden.	['over 9 hours.']	['über 9 Stunden.']	[[35, 48]]	[[40, 55]]	PC_goal_2-50_v2###10456	2	system	[[7, 10]]	[[5, 8]]
332	How about its performance when playing games?	Wie sieht es mit der Leistung beim Spielen aus?	[]	[]	[]	[]	PC_goal_2-50_v2###10456	3	user	[]	[]
333	It has an entry-level performance for playing games.	Es hat eine einstiegslevel Leistung bei Videospielen.	['entry-level']	['einstiegslevel']	[[10, 21]]	[[12, 26]]	PC_goal_2-50_v2###10456	3	system	[[3, 4]]	[[3, 4]]
334	Thank you, I will think it over.	Danke, ich werde es mir überlegen.	[]	[]	[]	[]	PC_goal_2-50_v2###10456	4	user	[]	[]
335	My pleasure. I'm glad to be at your service.	Freut mich. Ich freue mich, für Sie da zu sein.	[]	[]	[]	[]	PC_goal_2-50_v2###10456	4	system	[]	[]
336	Hi, I'm spending my holiday at home, and I want to watch a movie from Taiwan, China. Wu Kang-Ren is my favorite actor, is there a movie starring him? Please recommend me a movie.	Hallo, ich verbringe meinen Urlaub zu Hause und möchte einen Film aus Taiwan sehen. Wu Kang-Ren ist mein Lieblingsschauspieler, gibt es einen Film mit ihm? Bitte empfehlen Sie mir einen Film.	['Taiwan, China.', 'Wu Kang-Ren']	['Taiwan', 'Wu Kang-Ren']	[[70, 84], [85, 96]]	[[70, 76], [84, 95]]	movie_goal_4-6_v2###9995	0	user	[[15, 17], [17, 19]]	[[12, 13], [14, 16]]
337	Ok. I recommend The Bride. He's starring in it, I think you will like it.	OK. Ich empfehle The Bride. Er spielt darin die Hauptrolle, ich denke, es wird dir gefallen.	['The Bride.']	['The Bride.']	[[16, 26]]	[[17, 27]]	movie_goal_4-6_v2###9995	0	system	[[3, 5]]	[[3, 5]]
338	When did the movie premiere?	Wann wurde der Film uraufgeführt?	[]	[]	[]	[]	movie_goal_4-6_v2###9995	1	user	[]	[]
339	It premiered on August 20, 2015, in Taiwan, China.	Es wurde am 20. August 2015 in Taiwan uraufgeführt.	['August 20, 2015,', 'Taiwan, China.']	['20. August 2015', 'Taiwan']	[[16, 32], [36, 50]]	[[12, 27], [31, 37]]	movie_goal_4-6_v2###9995	1	system	[[3, 6], [7, 9]]	[[3, 6], [7, 8]]
340	Who else is starring in it? How long is the movie?	Wer spielt noch darin mit? Wie lang ist der Film?	[]	[]	[]	[]	movie_goal_4-6_v2###9995	2	user	[]	[]
341	In addition to the main actor Wu Kang-Ren, Hsieh Hsin-Ying, Tanaka Chie and Yen Cheng-Lan are also in it. It is 89 minutes.	Neben dem Hauptdarsteller Wu Kang-Ren sind auch Hsieh Hsin-Ying, Tanaka Chie und Yen Cheng-Lan darin. Es sind 89 Minuten.	['Wu Kang-Ren,', 'Hsieh Hsin-Ying, Tanaka Chie and Yen Cheng-Lan', '89 minutes.']	['Wu Kang-Ren', 'Hsieh Hsin-Ying, Tanaka Chie und Yen Cheng-Lan', '89 Minuten.']	[[30, 42], [43, 89], [112, 123]]	[[26, 37], [48, 94], [110, 121]]	movie_goal_4-6_v2###9995	2	system	[[6, 8], [8, 15], [21, 23]]	[[3, 5], [7, 14], [17, 19]]
342	Well, could you help me find a movie starring Ko Chen-Tung?	Können Sie mir helfen, einen Film mit Ko Chen-Tung zu finden?	['Ko Chen-Tung?']	['Ko Chen-Tung']	[[46, 59]]	[[38, 50]]	movie_goal_4-6_v2###9995	3	user	[[9, 11]]	[[7, 9]]
343	Sure. I recommend You Are the Apple of My Eye.	Sicher. Ich empfehle You Are the Apple of My Eye.	['You Are the Apple of My Eye.']	['You Are the Apple of My Eye.']	[[18, 46]]	[[21, 49]]	movie_goal_4-6_v2###9995	3	system	[[3, 10]]	[[3, 10]]
344	What's its Douban rating?	Was ist seine Douban-Bewertung?	[]	[]	[]	[]	movie_goal_4-6_v2###9995	4	user	[]	[]
